"word","stars"
"banjo",2.14474733799984
"charts",2.14474733799984
"cozy",2.14474733799984
"gillette",2.14474733799984
"istanbul",2.14474733799984
"meilleurs",2.14474733799984
"yummers",2.14474733799984
"deliciousness",2.14182017779167
"delightful",2.14096689363832
"drool",2.13785202046721
"disappoints",2.12380327191143
"not_heavy",2.11573592793663
"surpassed",2.11529966613117
"dreamy",2.11462010447266
"decadent",2.11164981384322
"piquant",2.11098405904697
"coolest",2.10865019183824
"not_annoying",2.10558193441451
"super_fast_service",2.09812185754111
"drooling",2.09537918222001
"not_overpowering",2.09321391222966
"goodly",2.09249012815986
"hallelujah",2.09182111693858
"permitting",2.09182111693858
"fluffiest",2.09035094413132
"friendly_staff",2.08828264018195
"tastings",2.0871511562567
"offal",2.08355139489776
"waistline",2.0808907017194
"cozen",2.07722078009409
"succulent",2.07159356693528
"excellently",2.07085035010298
"dreaming",2.07050012741153
"regrets",2.06942925418189
"carnivorous",2.06744719934458
"indulged",2.06641653082917
"pairings",2.06315274719706
"montague",2.06246707836678
"real_deal",2.0616473119424
"wonderful",2.05660255348145
"love_coming",2.05301574100771
"generous_portions",2.05049904060198
"fav",2.0468338290365
"pilgrimage",2.04432322624257
"gooood",2.04301901699897
"delicious",2.04176026682904
"feasted",2.04168048645949
"breathtaking",2.04076839042816
"pleasantly_surprised",2.03955488712316
"notepads",2.03695264923286
"mmmmmmm",2.0359545502628
"remembers",2.03160283875332
"eaves",2.0280844337031
"escargots",2.02606429683216
"leckere",2.02606429683216
"unforgettable",2.02606429683216
"seamless",2.02485324539167
"fabulous",2.0246742784375
"awesome",2.02166740422066
"luscious",2.01515592907778
"jewel",2.01498244660265
"heartbeat",2.01477365353523
"fresh_ingredients",2.01419599271539
"devilish",2.0112289166862
"not_ch",2.00875635332854
"reasonable_prices",2.00857623281904
"favourites",2.00547381231923
"desiree",2.00487089662365
"remiss",2.00145927610227
"salivating",2.00145927610227
"senna",2.00145927610227
"not_overdone",1.99014706068931
"not_too_sweet",1.98821350637819
"special_occasions",1.9862746067297
"not_rushed",1.98347802911905
"rotates",1.97925971721674
"crated",1.97689560834841
"yummiest",1.97551411263111
"creations",1.97378724298449
"yum",1.97376821994065
"not_greasy",1.97316556991171
"devoured",1.97213385715262
"fave",1.97156698201027
"complemented",1.97130055069336
"not_skimp",1.9711418256535
"understated",1.97024801509488
"fabulously",1.96672277624832
